npsn,nama_smk,status,akreditasi,alamat,kab_kota,kecamatan,telp,fax
20300704,SMK TAMTAMA KROYA,Swasta,,JL. SEMANGKA RT 8 RW 3 Kedawung Kode Pos 53282,Kab. Cilacap,Kec. Kroya,282494126,282494126
20300710,SMK MUHAMMADIYAH SAMPANG,Swasta,,JL. TUGU BARAT NO. 24 D RT 6 RW 1 Sampang Kode Pos 53273,Kab. Cilacap,Kec. Sampang,282697051,282697051
20300711,SMK MUHAMMADIYAH KROYA,Swasta,,JL. RAYA MUJUR KOTAK POS 2 KROYA RT 1 RW 1 Mujur Kode Pos 53282,Kab. Cilacap,Kec. Kroya,282494965,
20300713,SMK MA`ARIF 1 KROYA,Swasta,,JL. CENDRAWASIH RT 8 RW 0 Kroya Kode Pos 53282,Kab. Cilacap,Kec. Kroya,282492182,282492182
20300715,SMK MUHAMMADIYAH MAJENANG,Swasta,,JL. RAYA PADANGJAYA NO. 261 MAJENANG RT 1 RW 11 Padangjaya Kode Pos 53257,Kab. Cilacap,Kec. Majenang,280621524,280621524
20300717,SMK BOEDI OETOMO 2 GANDRUNGMANGU,Swasta,,JL. GANDRUNGMANGU NO. 200 RT 6 RW 3 GANDRUNGMANGU Kode Pos 53254,Kab. Cilacap,Kec. Gandrungmangu,2806260666,2806260666
20300738,SMK AL MUNAWWARAH CILACAP,Swasta,,"JL. KUTILANG NO. 1 SLARANG, KESUGIHAN RT 1 RW 2 Slarang Kode Pos 53274",Kab. Cilacap,Kec. Kesugihan,2825263015,
20300739,SMK YOS SUDARSO KAWUNGANTEN,Swasta,,JL. GEREJA NO. 3 KAWUNGANTEN RT 2 RW 5 Kawunganten Kode Pos 53253,Kab. Cilacap,Kec. Kawunganten,282611814,282611818
20300741,SMK YPE KROYA,Swasta,,JL. JEND. GATOT SUBROTO GG. II/85 KROYA RT 24 RW 2 Kroya Kode Pos 53282,Kab. Cilacap,Kec. Kroya,282494166,282494166
20300742,SMK TUNAS BANGSA WANAREJA,Swasta,,Jl. Jambu Adimulya Wanareja RT 2 RW 4 Adimulya Kode Pos 53265,Kab. Cilacap,Kec. Wanareja,2806260363,2806260363
20300743,SMK SRI MUKTI CILACAP,Swasta,,JL. BAWEAN NO. 293 RT 4 RW 1 Gunungsimping Kode Pos 53224,Kab. Cilacap,Kec. Cilacap Tengah,282532454,
20300744,SMK NEGERI 1 CILACAP,Swasta,A,JL. BUDI UTOMO NO. 10 CILACAP RT 3 RW 9 Sidakaya Kode Pos 53212,Kab. Cilacap,,282533081,282537385
20300746,SMK MUHAMMADIYAH KARANGPUCUNG,Swasta,,JL. PRAMUKA NO.160 KARANGPUCUNG RT 2 RW 6 Karangpucung Kode Pos 53255,Kab. Cilacap,Kec. Karangpucung,2806261692,2806261692
20300747,SMK MAKMUR 1 CILACAP,Swasta,,JL. PUCANG NO.59 RT 3 RW 9 Gumilir Kode Pos 53231,Kab. Cilacap,Kec. Cilacap Utara,282540586,282540586
20300749,SMK LPPM RI 2 KEDUNGREJA,Swasta,,JL. RAYA TAMBAKSARI NO. 44 KEDUNGREJA-CILACAP RT 4 RW 3 Tambaksari Kode Pos 53263,Kab. Cilacap,Kec. Kedungreja,2805260257,
20300750,SMK 18 LPPM RI SIDAREJA,Swasta,,JL. JENDERAL SUDIRMAN NO. 52 A SIDAREJA RT 4 RW 5 Sidamulya Kode Pos 53261,Kab. Cilacap,Kec. Sidareja,523268,523268
20300751,SMK DIPONEGORO MAJENANG,Swasta,,JL. RAYA PAHONJEAN KM. 2 MAJENANG RT 0 RW 0 Cibeunying Kode Pos 53257,Kab. Cilacap,Kec. Majenang,280622094,280622281
20300754,SMK KARYA MANDIRI NUSAWUNGU,Swasta,,JL. SEKOLAHAN NO. 1 RT 3 RW 3 Banjarsari Kode Pos 53283,Kab. Cilacap,Kec. Nusawungu,81327764577,0
20301893,SMKS KESATRIAN PURWOKERTO,Swasta,,JL. KESATRIAN NO 62 PURWOKERTO RT 3 RW 11 Sokanegara Kode Pos 53115,Kab. Banyumas,Kec. Purwokerto Timur,281636122,281636122
20301894,SMKS MAARIF NU 1 RAWALO,Swasta,,JL. MASJID NURUSSALAM RAWALO 53173 BANYUMAS RT 2 RW 6 Rawalo Kode Pos 53173,Kab. Banyumas,Kec. Rawalo,2816848029,
20301896,SMKS MAARIF NU 1 SUMPIUH,Swasta,,JALAN RAYA SUMPIUH TIMUR NOMOR IV/12 A RT 1 RW 2 Kradenan Kode Pos 53195,Kab. Banyumas,Kec. Sumpiuh,282497899,282497899
20301898,SMKS MUHAMMADIYAH 3 PURWOKERTO,Swasta,,JL. KH. WACHID HASJIM NO. 271 PURWOKERTO RT 2 RW 2 Karangklesem Kode Pos 53144,Kab. Banyumas,Kec. Purwokerto Selatan,281638776,281638776
20301899,SMKN 1 KALIBAGOR,Negeri,,JLN. RAYA PURWOKERTO BANYUMAS KM 12 KALIBAGOR RT 1 RW 4 Kalibagor Kode Pos 53191,Kab. Banyumas,Kec. Kalibagor,281796231,281796231
20301900,SMKS DIPONEGORO 2 RAWALO,Swasta,,Jl. Raya Tambaknegara RT 1 RW 4 Tambaknegara Kode Pos 53173,Kab. Banyumas,Kec. Rawalo,81327077315,0
20301902,SMKS TELEKOMUNIKASI SANDHY PUTRA PURWOKERTO,Swasta,,JL. DI PANJAITAN NO.128 PURWOKERTO RT 0 RW 0 Purwokerto Kidul Kode Pos 53147,Kab. Banyumas,Kec. Purwokerto Selatan,281632138,281632137
20301907,SMKS BINA TARUNA PURWOKERTO,Swasta,,JL. HM. BACHROEN NO.15 B RT 0 RW 0 Purwokerto Wetan Kode Pos 53111,Kab. Banyumas,Kec. Purwokerto Timur,281638651,281638651
20301908,SMKS BINA TEKNOLOGI PURWOKERTO,Swasta,,JL.PAHLAWAN VI/18 TANJUNG PURWOKERTO TELP/FAX (0281) 638328 RT 0 RW 0 Tanjung Kode Pos 53143,Kab. Banyumas,Kec. Purwokerto Selatan,81327048702,281638328
20301909,SMKS BUNDA SATRIA WANGON,Swasta,,JL. RAYA UTARA WANGON RT 3 RW 6 Banteran Kode Pos 53176,Kab. Banyumas,Kec. Wangon,2816849114,2816849112
20301914,SMKS WIDYA KARYA PURWOKERTO,Swasta,,JLN. MARTADIREJA II MERSI PURWOKERTO JAWA TENGAH RT 3 RW 7 MERSI Kode Pos 53112,Kab. Banyumas,Kec. Purwokerto Timur,281632220,281632220
20301916,SMKS WIWOROTOMO PURWOKERTO,Swasta,,JL.LAKSDA YOS SUDARSO NO. 3 RT 3 RW 1 Rejasari Kode Pos 53134,Kab. Banyumas,Kec. Purwokerto Barat,281635823,281635823
20301918,SMKS YPPPK MARANATHA PURWOKERTO,Swasta,,JL. GERILYA NO 12 KARANGKLESEM PURWOKERTO SELATAN KERTO RT 1 RW 10 Karangklesem Kode Pos 53144,Kab. Banyumas,Kec. Purwokerto Selatan,281628805,281628005
20301921,SMKS TUJUH LIMA 1 PURWOKERTO,Swasta,,JL. MARGANTARA TANJUNG RT 8 RW 4 Tanjung Kode Pos 53143,Kab. Banyumas,Kec. Purwokerto Selatan,638387,
20301922,SMKS TUJUH LIMA 2 PURWOKERTO,Swasta,,JL. MARGANTARA TANJUNG PURWOKERTO RT 8 RW 4 Tanjung Kode Pos 53143,Kab. Banyumas,Kec. Purwokerto Selatan,281642119,
20301925,SMKN 3 BANYUMAS,Negeri,,JENDERAL GATOT SOEBROTO NO. 1 BANYUMAS RT 7 RW 1 Sudagaran Kode Pos 53192,Kab. Banyumas,Kec. Banyumas,281796328,281796328
20301927,SMKS SWAGAYA 2 PURWOKERTO,Swasta,,JL. PROF. MR. MUCH YAMIN XI/4 PURWOKERTO RT 7 RW 3 Karangklesem Kode Pos 53144,Kab. Banyumas,Kec. Purwokerto Selatan,2816845010,2816845010
20301928,SMKS TAMANSISWA PURWOKERTO,Swasta,,Jl.Sunan Ampel RT 03 RW 01 Kedungmalang RT 3 RW 1 Kedung Malang Kode Pos 53183,Kab. Banyumas,Kec. Sumbang,2816510348,2816510348
20301929,SMKS TEKNOLOGI NASIONAL PURWOKERTO,Swasta,,JL. KH. AGUS SALIM NOMOR 98 PURWOKERTO SELATAN RT 5 RW 6 KARANGPUCUNG Kode Pos 53142,Kab. Banyumas,Kec. Purwokerto Selatan,,
20301930,SMKS TEKNIK KOMPUTER MBM RAWALO,Swasta,,JL. PESANTREN NO. 3 PESAWAHAN RAWALO RT 2 RW 4 Rawalo Kode Pos 53173,Kab. Banyumas,Kec. Rawalo,81327006631,
20302017,SMKS MAARIF NU 1 KEMBARAN,Swasta,,PONPES MAMBAUL USHULIL HIKMAH RT 7 RW 1 Linggasari Kode Pos 53182,Kab. Banyumas,Kec. Kembaran,,81391552280
20302104,SMKN 1 BANYUMAS,Negeri,,JALAN PRAMUKA NO.1 BANYUMAS RT 3 RW 1 Kejawar Kode Pos 53192,Kab. Banyumas,Kec. Banyumas,281796017,2816443282
20302108,SMKS TAMANSISWA SUMPIUH,Swasta,,JL. NUSAWUNGU NO.4 SUMPIUH KABUPATEN BANYUMAS RT 1 RW 1 SUMPIUH Kode Pos 53195,Kab. Banyumas,Kec. Sumpiuh,282497860,
20302120,SMKS VETERAN JENDRAL GATOT SUBROTO PURWOKERTO,Swasta,,JL. DR. ANGKA NO. 56 PURWOKERTO RT 4 RW 8 Sokanegara Kode Pos 53115,Kab. Banyumas,Kec. Purwokerto Timur,634130,81104660770
20302124,SMKS MAARIF NU 1 AJIBARANG,Swasta,,JL. RAYA AJIBARANG KM 1 AJIBARANG KP 53163 RT 2 RW 4 Pandansari Kode Pos 53163,Kab. Banyumas,Kec. Ajibarang,281571284,
20302126,SMKS MUHAMMADIYAH 2 AJIBARANG,Swasta,,JALAN PANDANSARI 875 AJIBARANG RT 4 RW 6 Ajibarang Kulon Kode Pos 53163,Kab. Banyumas,Kec. Ajibarang,281571904,281571904
20302129,SMKN 2 PURWOKERTO,Negeri,,JL. JENDERAL GATOT SUBROTO NO.81 PURWOKERTO KABUPATEN BANYUMAS JAWA TENGAH RT 5 RW 5 Kranji Kode Pos 53116,Kab. Banyumas,Kec. Purwokerto Timur,281635061,281635061
20302130,SMKS NASIONAL PURWOKERTO,Swasta,,JL.KH.WAHID HASYIM NO.93 PURWOKERTO RT 7 RW 10 Karangklesem Kode Pos 53144,Kab. Banyumas,Kec. Purwokerto Selatan,281631952,281631952
20302131,SMKS POLITEKNIK YP3I BANYUMAS,Swasta,,JL. RAYA PURWOKERTO-BANYUMAS KM 12 KEC. KALIBAGOR KAB. BANYUMAS RT 1 RW 4 Kalibagor Kode Pos 53191,Kab. Banyumas,Kec. Kalibagor,2816438292,
20302139,SMKS GIRIPURO SUMPIUH,Swasta,,JALAN GIRITOMO NO. 15 SUMPIUH RT 5 RW 1 Kebokura Kode Pos 53195,Kab. Banyumas,Kec. Sumpiuh,282497681,282497681
20303102,SMKS YPT 2 PURBALINGGA,Swasta,,JL. MAYJEND. SUNGKONO KM 3 PURBALINGGA RT 2 RW 1 Selabaya Kode Pos 53371,Kab. Purbalingga,Kec. Kalimanah,892407,892407
20303103,SMKS YPT 1 PURBALINGGA,Swasta,,JL. MAYJEND SUNGKONO KM 3 RT 2 RW 4 Selabaya Kode Pos 53371,Kab. Purbalingga,Kec. Kalimanah,281891614,281891614
20303104,SMKS YPLP PERWIRA PURBALINGGA,Swasta,,JL. LETKOL ISDIMAN NO.56A PURBALINGGA RT 0 RW 0 Purbalingga Wetan Kode Pos 53317,Kab. Purbalingga,Kec. Purbalingga,281894148,281894148
20303105,SMKN 1 KALIGONDANG,Negeri,,"JL. RAYA SELANEGARA, KALIGONDANG RT 4 RW 1 SELANEGARA Kode Pos 53391",Kab. Purbalingga,Kec. Kaligondang,2816591196,2816591195
20303106,SMKN 1 BUKATEJA,Negeri,,JL. RAYA PURWANDARU - BUKATEJA RT 1 RW 1 BUKATEJA Kode Pos 53382,Kab. Purbalingga,Kec. Bukateja,286476110,286476110
20303107,SMKS MAARIF NU BOBOTSARI,Swasta,,JL. KAMPUNG BARU RT 2 RW 2 Gandasuli Kode Pos 53353,Kab. Purbalingga,Kec. Bobotsari,281759123,281759123
20303108,SMKS KARYA BHAKTI PURBALINGGA,Swasta,,JL. LETJEND. S.PARMAN PURBALINGGA RT 3 RW 6 PENAMBONGAN Kode Pos 53314,Kab. Purbalingga,Kec. Purbalingga,281892110,
20303110,SMKS CENDEKIA PERKASA PURBALINGGA,Swasta,,JL. WALI PERKASA KAV. 1 PEKIRINGAN KARANGMONCOL RT 1 RW 1 Pekiringan Kode Pos 53355,Kab. Purbalingga,Kec. Karangmoncol,2816590052,
20303124,SMKN 1 BOJONGSARI,Negeri,,JALAN RAYA BOJONGSARI - PURBALINGGA RT 2 RW 5 Bojongsari Kode Pos 53362,Kab. Purbalingga,Kec. Bojongsari,2816596942,2816596942
20303125,SMKS MAARIF NU KEMANGKON,Swasta,,JL. RAYA PANICAN KEDUNG BENDA KEMANGKON RT 13 RW 5 PANICAN/PURBALINGGA Kode Pos 53381,Kab. Purbalingga,Kec. Kemangkon,0,
20303175,SMKS WIDYA MANGGALA PURBALINGGA,Swasta,,JL. MAYJEND. SUNGKONO PURBALINGGA RT 3 RW 1 Selabaya Kode Pos 53371,Kab. Purbalingga,Kec. Kalimanah,281892774,281892780
20303226,SMKN 2 PURBALINGGA,Negeri,,Jl. Raya Selaganggeng - Mrebet RT 1 RW 1 Selaganggeng Kode Pos 53352,Kab. Purbalingga,Kec. Mrebet,281759000,281759000
20303240,SMKN 1 PURBALINGGA,Negeri,,JL. MAYJEND SUNGKONO SELABAYA KALIMANAH PURBALINGGA RT 2 RW 4 SELABAYA Kode Pos 53371,Kab. Purbalingga,Kec. Kalimanah,281891550,281895265
20303241,SMKS MUHAMMADIYAH BOBOTSARI,Swasta,,JL. RS.YOSOMIHARJO NO. 8 BOBOTSARI RT 3 RW 3 BOBOTSARI Kode Pos 53353,Kab. Purbalingga,Kec. Bobotsari,281758240,281758240
20303242,SMKS MUHAMMADIYAH 1 PURBALINGGA,Swasta,,JL. LET. JEND. S. PARMAN PO BOX 125 PURBALINGGA RT 3 RW 1 Purbalingga Wetan Kode Pos 53317,Kab. Purbalingga,Kec. Purbalingga,281895768,281895768
20303243,SMKS MAARIF NU KARANGREJA,Swasta,,JL. RAYA KARANGREJA RT 5 RW 3 Karangreja Kode Pos 53357,Kab. Purbalingga,Kec. Karangreja,85227700808,
20303244,SMKS MAARIF BUKATEJA,Swasta,,JL. RAYA MAJASARI - BUKATEJA - PURBALINGGA RT 4 RW 4 MAJASARI Kode Pos 53382,Kab. Purbalingga,Kec. Bukateja,2865211237,
20303936,SMKS PANCA BHAKTI BANJARNEGARA,Swasta,,JL. TENTARA PELAJAR KM 5 BANJARNEGARA RT 2 RW 4 Sokanandi Kode Pos 53413,Kab. Banjarnegara,Kec. Banjarnegara,286591587,286595173
20303937,SMKN 2 BAWANG,Negeri,,JL. RAYA MANTRIANOM NO. 75 RT 5 RW 1 BANDINGAN Kode Pos 53471,Kab. Banjarnegara,Kec. Bawang,286597070,286597070
20303938,SMKS HKTI 2 PURWAREJA KLAMPOK,Swasta,,JL. RAYA PURWAREJA KLAMPOK NO 82-B RT 1 RW 9 PURWAREJA Kode Pos 53474,Kab. Banjarnegara,Kec. Purwareja Klampok,286479141,286479141
20303941,SMKS TAMANSISWA BANJARNEGARA,Swasta,,JL. MAYJEND PANJAITAN NO. 29 RT 1 RW 8 Krandegan Kode Pos 53414,Kab. Banjarnegara,Kec. Banjarnegara,286591304,286591304
20303942,SMKN 1 BAWANG,Negeri,,"JL. RAYA PUCANG NO. 132, BAWANG, BANJARNEGARA, JAWA TENGAH RT 0 RW 0 Pucang Kode Pos 53471",Kab. Banjarnegara,Kec. Bawang,591407,5985374
20303943,SMKS MUHAMMADIYAH BANJARNEGARA,Swasta,,JL. LET. JEND. SUPRAPTO NO. 117 C RT 7 RW 8 Kutabanjarnegara Kode Pos 53417,Kab. Banjarnegara,Kec. Banjarnegara,286595163,
20303947,SMKS AL FATAH BANJARNEGARA,Swasta,,JL. LET. JEND. S. PARMAN KM. 3 RT 4 RW 11 Parakancanggah Kode Pos 53412,Kab. Banjarnegara,Kec. Banjarnegara,2865986017,
20303948,SMKS COKROAMINOTO 1 BANJARNEGARA,Swasta,,JL. PEMUDA NO. 63 BANJARNEGARA RT 0 RW 0 SEMARANG Kode Pos 53411,Kab. Banjarnegara,Kec. Banjarnegara,286592591,286592591
20303949,SMKS COKROAMINOTO 2 BANJARNEGARA,Swasta,,JL. LET. JEND. SOEPRAPTO 221 RT 1 RW 1 Wangon Kode Pos 53417,Kab. Banjarnegara,Kec. Banjarnegara,286592592,286592592
20303961,SMKS HKTI 1 PURWAREJA KLAMPOK,Swasta,,JL. RAYA PURWAREJA KLAMPOK NO. 82 RT 1 RW 9 PURWAREJA Kode Pos 53474,Kab. Banjarnegara,Kec. Purwareja Klampok,286479060,286479060
20305024,SMKS BATIK SAKTI 2 KEBUMEN,Swasta,,JL. KUSUMA NO 71 KEBUMEN RT 5 RW 5 Bumirejo Kode Pos 54316,Kab. Kebumen,Kec. Kebumen,287381058,287385600
20306039,SMKS YPE PURWODADI,Swasta,,JL. PURWOSARI RT 1 RW 4 Purwosari Kode Pos 54173,Kab. Purworejo,Kec. Purwodadi,275756220,
20306041,SMKS YEPEKA PURWOREJO,Swasta,,"JL. TENTARA PELAJAR KM. 2,7 PURWOREJO RT 1 RW 3 Kledung Kradenan Kode Pos 54171",Kab. Purworejo,Kec. Banyu Urip,322956,
20306055,SMKS YPT PURWOREJO,Swasta,,JL. BRIGJEND KATAMSO NO.83 PURWOREJO RT 3 RW 2 Pangenrejo Kode Pos 54115,Kab. Purworejo,Kec. Purworejo,275322130,275322130
20306056,SMKS YPP PURWOREJO,Swasta,,JL. TENTARA PELAJAR NO.70 PURWOREJO RT 1 RW 1 Kledung Karangdalem Kode Pos 54171,Kab. Purworejo,Kec. Banyu Urip,275321754,275321754
20306057,SMKS TKM TEKNIK PURWOREJO,Swasta,,JL. AHMAD YANI NO. 8 PURWOREJO RT 2 RW 14 Purworejo Kode Pos 54111,Kab. Purworejo,Kec. Purworejo,275322590,275322590
20306058,SMKS A YANI PURWOREJO,Swasta,,Jl Purworejo-Kemiri KM 5 RT 4 RW 6 Seren Kode Pos 54191,Kab. Purworejo,Kec. Gebang,85743771616,
20306059,SMKS PEMBAHARUAN PURWOREJO,Swasta,,JL. KESATRIAN NOMOR.7 PURWOREJO RT 1 RW 1 PANGENREJO Kode Pos 54115,Kab. Purworejo,Kec. Purworejo,275321585,275321474
20306060,SMKS PANCASILA 1 KUTOARJO,Swasta,,JL. MAYJEND. S. PARMAN KUTOARJO PURWOREJO RT 1 RW 4 Bandung Kode Pos 54212,Kab. Purworejo,Kec. Kutoarjo,275641516,275641516
20306061,SMKS MAARIF NU 1 BENER,Swasta,,JLN. MAGELANG KM.12 RT 1 RW 3 KALIBOTO Kode Pos 54183,Kab. Purworejo,Kec. Bener,2753120073,2753120073
20306063,SMKN 8 PURWOREJO,Negeri,,"Desa Bajangrejo, Banyu Urip 54171 RT 6 RW 1 Bajangrejo Kode Pos 54171",Kab. Purworejo,Kec. Banyu Urip,85102308808,-
20306066,SMKS PN 2 PURWOREJO,Swasta,,JL. KESATRIAN NO. 17 PURWOREJO RT 1 RW 1 Pangenrejo Kode Pos 54115,Kab. Purworejo,Kec. Purworejo,275322386,275322386
20306070,SMKN 3 PURWOREJO,Negeri,,JL. KARTINI NO 5 PURWOREJO RT 0 RW 0 Sindurjan Kode Pos 54113,Kab. Purworejo,Kec. Purworejo,275321268,275325340
20306071,SMKS MAARIF BUTUH PURWOREJO,Swasta,,"JL. STASIUN NO.1 BUTUH, PURWOREJO RT 3 RW 6 BUTUH Kode Pos 54264",Kab. Purworejo,Kec. Butuh,81392253210,
20306072,SMKS KRISTEN KUTOARJO,Swasta,,JL. P. DIPONEGORO NO. 104 KUTOARJO RT 2 RW 10 Kutoarjo Kode Pos 54212,Kab. Purworejo,Kec. Kutoarjo,0275/641590,0275/641590
20306075,SMKN 7 PURWOREJO,Negeri,,"JL. CANGKREP - BAGELEN KM.7, PURWOREJO RT 3 RW 1 Kemanukan Kode Pos 54174",Kab. Purworejo,Kec. Bagelen,85100306080,
20306168,SMKN 6 PURWOREJO,Negeri,,"DESA WARENG, KEC. BUTUH, KAB.PURWOREJO, JAWA TENGAH RT 3 RW 6 Wareng Kode Pos 54264",Kab. Purworejo,Kec. Butuh,( 0275 ) 3142049,0
20306178,SMKS BATIK PERBAIK PURWOREJO,Swasta,,JL. K. H. A. DAHLAN 14 PURWOREJO RT 4 RW 12 Purworejo Kode Pos 54111,Kab. Purworejo,Kec. Purworejo,275321407,275321407
20306179,SMKS HKTI KUTOARJO PURWOREJO,Swasta,,"JL. KETAWANG KM.5 TUNTUNG PAIT, KUTOARJO RT 2 RW 2 Tuntungpahit Kode Pos 54152",Kab. Purworejo,Kec. Kutoarjo,81388540044,
20306180,SMKN 1 PURWOREJO,Negeri,,JL. TENTARA PELAJAR KOTAK POS 127 RT 3 RW 7 KLEDUNG KRADENAN Kode Pos 54101,Kab. Purworejo,Kec. Banyu Urip,275321948,275321948
20306181,SMKS INSTITUT INDONESIA KUTOARJO,Swasta,,"Jl. Tentara Pelajar No.15 A Kutoarjo, Katerban, KUTOARJO, KAB. PURWOREJO 54214 RT 2 RW 5 Katerban Kode Pos 54214",Kab. Purworejo,Kec. Kutoarjo,275641164,275641164
20306182,SMKS PUTRA NUSANTARA PURWOREJO,Swasta,,JL. BRIGJEND KATAMSO NO. 50 PURWOREJO RT 0 RW 0 PANGENJURUTENGAH Kode Pos 54114,Kab. Purworejo,Kec. Purworejo,,
20306183,SMKS PGRI BAGELEN,Swasta,,JL. JOGJA KM 11 BAGELEN RT 2 RW 3 BAGELEN Kode Pos 54174,Kab. Purworejo,Kec. Bagelen,275756274,
20306184,SMKS PANCASILA 2 KUTOARJO,Swasta,,JL. ASAM KRANJI NO. 2 KUTOARJO RT 5 RW 8 Kutoarjo Kode Pos 54212,Kab. Purworejo,Kec. Kutoarjo,275642355,275642355
20306185,SMKS NU GEBANG PURWOREJO,Swasta,,JL. PAHLAWAN REVOLUSI BERJAN GERBANG PURWOREJO RT 3 RW 1 Lugosobo Kode Pos 54191,Kab. Purworejo,Kec. Gebang,275383981,
20306186,SMKN 2 PURWOREJO,Negeri,,"JL. KRAJAN 1, SEMAWUNGDALEMAN KUTOARJO RT 2 RW 1 SEMAWUNG DALEMAN Kode Pos 54213",Kab. Purworejo,Kec. Kutoarjo,275641102,275641102
20306187,SMKS KRISTEN PENABUR PURWOREJO,Swasta,,JL. DR. SETIABUDI 18 PURWOREJO 54113 RT 2 RW 5 SINDURJAN Kode Pos 54113,Kab. Purworejo,Kec. Purworejo,275321211,275323329
20306188,SMKS KARTINI PURWOREJO,Swasta,,JL. KARTINI NO. 21 PURWOREJO RT 3 RW 6 Sindurjan Kode Pos 54113,Kab. Purworejo,Kec. Purworejo,275321391,275321391
20306801,SMKN 1 SAPURAN,Negeri,,JL. PURWOREJO KM. 19 SAPURAN RT 6 RW 4 Pecekelan Kode Pos 56373,Kab. Wonosobo,Kec. Sapuran,286611281,286611281
20306802,SMKN 1 KEPIL,Negeri,,DESA JANGKRIKAN RT 2 RW 7 Jangkrikan Kode Pos 56374,Kab. Wonosobo,Kec. Kepil,2863301295,
20306803,SMKS MUHAMMADIYAH 1 WONOSOBO,Swasta,,JL. KH A. DAHLAN NO.6 RT 6 RW 1 Jaraksari Kode Pos 56311,Kab. Wonosobo,Kec. Wonosobo,286325126,286325126
20306804,SMKS INFORMATIKA WONOSOBO,Swasta,,JL. MAYJEND. BAMBANG SUGENG NO.1 RT 2 RW 4 Pagerkukuh Kode Pos 56314,Kab. Wonosobo,Kec. Wonosobo,286321625,286321625
20306810,SMKN 1 SUKOHARJO,Negeri,,JL. RAYA SUKOHARJO RT 2 RW 3 SUKOHARJO Kode Pos 56363,Kab. Wonosobo,Kec. Sukoharjo,2863303131,
20306811,SMK NEGERI 1 WONOSOBO,Negeri,,Jl. Bhayangkara No. 12 RT 9 RW 4 Wonosobo Barat Kode Pos 56311,Kab. Wonosobo,Kec. Wonosobo,286321219,286325073
20306815,SMKS WIRATAMA 45 2 WONOSOBO,Swasta,,JL. TUMENGGUNG JOGONEGORO KM. 4 RT 1 RW 1 Wonorejo Kode Pos 56361,Kab. Wonosobo,Kec. Selomerto,286324689,286324689
20306817,SMKS WIRATAMA 45 1 WONOSOBO,Swasta,,JL. KOLONEL KARDJONO NO. 43 RT 8 RW 4 Wonosobo Barat Kode Pos 56311,Kab. Wonosobo,Kec. Wonosobo,286321295,286323487
20306818,SMKS PURNAMA WONOSOBO,Swasta,,JL. BANYUMAS KM 3 WONOSOBO RT 1 RW 3 WONOREJO Kode Pos 56361,Kab. Wonosobo,Kec. Selomerto,85228214588,
20306820,SMK NEGERI 2 WONOSOBO,Negeri,,JL. LINGKAR SELATAN KM. 5 WONOSOBO RT 0 RW 0 Wonolelo Kode Pos 56313,Kab. Wonosobo,Kec. Wonosobo,2863399050,2863399060
